# lam_nm Iw_norm phiew_rel_rad
1.8150977355e+03 3.9098045436e-27 -1.5379417257e+02
1.7972794404e+03 3.9359999263e-27 -1.5066810268e+02
1.7798075786e+03 3.9755413765e-27 -1.4754256215e+02
1.7626721441e+03 4.0057955209e-27 -1.4441631623e+02
1.7458635126e+03 4.0440943750e-27 -1.4128833530e+02
1.7293724232e+03 4.0899675901e-27 -1.3815941666e+02
1.7131899619e+03 4.1314684549e-27 -1.3503000292e+02
1.6973075451e+03 4.1801987137e-27 -1.3189960658e+02
1.6817169045e+03 4.2189031738e-27 -1.2877133306e+02
1.6664100731e+03 4.2624475420e-27 -1.2564335875e+02
1.6513793711e+03 4.3025449819e-27 -1.2251677201e+02
1.6366173934e+03 4.3604769137e-27 -1.1938850785e+02
1.6221169973e+03 4.4115082100e-27 -1.1626054404e+02
1.6078712911e+03 4.4690562124e-27 -1.1313152547e+02
1.5938736230e+03 4.5195295771e-27 -1.1000356297e+02
1.5801175709e+03 4.5762440221e-27 -1.0687409036e+02
1.5665969324e+03 4.6265220956e-27 -1.0374633804e+02
1.5533057156e+03 4.6875061151e-27 -1.0061850928e+02
1.5402381305e+03 4.7488735672e-27 -9.7492067782e+01
1.5273885800e+03 4.8174442820e-27 -9.4363712507e+01
1.5147516522e+03 4.8925073972e-27 -9.1235284351e+01
1.5023221132e+03 4.9683130188e-27 -8.8105929956e+01
1.4900948992e+03 5.0474946329e-27 -8.4976229696e+01
1.4780651099e+03 5.1168674501e-27 -8.1847033154e+01
1.4662280021e+03 5.1958172779e-27 -7.8719253074e+01
1.4545789833e+03 5.2705702992e-27 -7.5592540661e+01
1.4431136058e+03 5.3673168036e-27 -7.2466159192e+01
1.4318275611e+03 5.4695023918e-27 -6.9339058538e+01
1.4207166743e+03 5.5558166761e-27 -6.6212388443e+01
1.4097768992e+03 5.6693487616e-27 -6.3084135177e+01
1.3990043132e+03 5.7809751954e-27 -5.9954345556e+01
1.3883951127e+03 5.8854253276e-27 -5.6825545978e+01
1.3779456086e+03 6.0054731274e-27 -5.3697370126e+01
1.3676522222e+03 6.1141269661e-27 -5.0569042771e+01
1.3575114807e+03 6.2383318313e-27 -4.7441118477e+01
1.3475200136e+03 6.3657221918e-27 -4.4313223559e+01
1.3376745489e+03 6.4917110410e-27 -4.1185957856e+01
1.3279719098e+03 6.6450600645e-27 -3.8058642578e+01
1.3184090106e+03 6.7851820445e-27 -3.4931320193e+01
1.3089828540e+03 6.9483750514e-27 -3.1803541062e+01
1.2996905280e+03 7.0891694503e-27 -2.8675294764e+01
1.2905292024e+03 7.2810840599e-27 -2.5547783626e+01
1.2814961265e+03 7.4404107121e-27 -2.2419294278e+01
1.2725886258e+03 7.6539198388e-27 -1.9291378522e+01
1.2638041000e+03 7.8345877192e-27 -1.6163726358e+01
1.2551400198e+03 8.0074933924e-27 -1.3034216791e+01
1.2465939249e+03 8.3605010161e-27 -9.9083336073e+00
1.2381634216e+03 8.3317209127e-27 -6.7803226062e+00
1.2298461804e+03 8.8838190507e-27 -3.6510215576e+00
1.2216399342e+03 8.6269378924e-27 -5.2980498248e-01
1.2135424757e+03 1.0438917721e-26 -3.6687839163e+00
1.2055516560e+03 6.4364952471e-27 -5.8196741361e-01
1.1976653822e+03 1.7054057854e-26 -3.6800224091e+00
1.1898816161e+03 5.4432861936e-27 -6.1117048188e-01
1.1821983719e+03 4.5134298944e-27 2.4609068320e+00
1.1746137148e+03 7.4054241315e-26 -5.1932366101e-01
1.1671257594e+03 4.1125852172e-26 -4.0236190209e-01
1.1597326680e+03 1.6413222038e-25 -5.3827965084e-01
1.1524326493e+03 1.9901845734e-26 -3.6258226917e+00
1.1452239567e+03 5.6738553501e-25 -3.5916127115e+00
1.1381048871e+03 5.6691086588e-24 -3.6556427580e+00
1.1310737794e+03 1.5606482751e-23 -3.6401510816e+00
1.1241290134e+03 3.7430016320e-23 -3.6352816193e+00
1.1172690083e+03 6.8179941080e-23 -3.6322694911e+00
1.1104922219e+03 1.4136159569e-22 -3.6602340380e+00
1.1037971489e+03 2.7035968460e-22 -3.6552744351e+00
1.0971823203e+03 5.5891458981e-22 -3.6126466800e+00
1.0906463020e+03 1.1896000680e-21 -3.5507893917e+00
1.0841876939e+03 2.7669366318e-21 -3.5317745858e+00
1.0778051289e+03 6.1197122247e-21 -3.5491135591e+00
1.0714972718e+03 1.1688440363e-20 -3.5720541910e+00
1.0652628187e+03 1.6336022131e-20 -3.5742103999e+00
1.0591004955e+03 1.4073151519e-20 -3.5670726071e+00
1.0530090579e+03 6.2678357166e-21 -3.5712940674e+00
1.0469872895e+03 8.5222191955e-21 -3.6246054054e+00
1.0410340021e+03 1.2693534623e-19 -3.6021443701e+00
1.0351480340e+03 1.1189737169e-18 -3.5632366893e+00
1.0293282498e+03 4.2912086919e-18 -3.4948066046e+00
1.0235735394e+03 8.7242804259e-18 -3.3464133674e+00
1.0178828176e+03 1.3504439151e-17 -3.1031613128e+00
1.0122550228e+03 2.0609888222e-17 -2.9452030853e+00
1.0066891171e+03 1.0606158720e-17 -2.9146651153e+00
1.0011840853e+03 9.7669259958e-17 -7.5868145650e-02
9.9573893393e+02 3.3630905217e-15 -9.7666980549e-02
9.9035269144e+02 3.4081946249e-14 -1.3358384531e-01
9.8502440694e+02 2.1302524097e-13 -1.6363714657e-01
9.7975314998e+02 9.7516075479e-13 -1.9042858611e-01
9.7453800990e+02 3.4409140346e-12 -2.1070966359e-01
9.6937809533e+02 9.6266496208e-12 -2.2211410592e-01
9.6427253366e+02 2.2391949069e-11 -2.2725812919e-01
9.5922047061e+02 4.6853464420e-11 -2.3227824166e-01
9.5422106967e+02 9.6510318596e-11 -2.4221906356e-01
9.4927351170e+02 2.0536625835e-10 -2.5503533969e-01
9.4437699445e+02 4.4204448889e-10 -2.6230267838e-01
9.3953073214e+02 9.2680221201e-10 -2.5884395453e-01
9.3473395505e+02 1.9149797491e-09 -2.4859512896e-01
9.2998590909e+02 4.1332548469e-09 -2.3885057899e-01
9.2528585540e+02 9.7161205371e-09 -2.2662855313e-01
9.2063307000e+02 2.4697002606e-08 -1.9816027227e-01
9.1602684340e+02 6.6824995001e-08 -1.4906163617e-01
9.1146648023e+02 1.9203985512e-07 -9.6762313642e-02
9.0695129890e+02 5.7296152296e-07 -6.5448232775e-02
9.0248063126e+02 1.6822256392e-06 -6.3639596103e-02
8.9805382228e+02 4.5957699837e-06 -8.3970179425e-02
8.9367022969e+02 1.1212466909e-05 -1.1458734176e-01
8.8932922373e+02 2.3722054791e-05 -1.4411979085e-01
8.8503018681e+02 4.2505179924e-05 -1.6102529570e-01
8.8077251322e+02 6.3752544901e-05 -1.5209059868e-01
8.7655560884e+02 8.2563025130e-05 -1.0332009330e-01
8.7237889089e+02 1.0535279278e-04 -1.5084344321e-02
8.6824178764e+02 1.6632916463e-04 6.2619422319e-02
8.6414373815e+02 3.6257091476e-04 6.8776132982e-02
8.6008419202e+02 9.5587780637e-04 3.0836045981e-02
8.5606260916e+02 2.5141621425e-03 5.3998074442e-03
8.5207845952e+02 5.9887022866e-03 1.0910021941e-02
8.4813122286e+02 1.2871633002e-02 3.9123619641e-02
8.4422038856e+02 2.5849099694e-02 7.1374395428e-02
8.4034545537e+02 5.0059756364e-02 8.9024023014e-02
8.3650593118e+02 9.4474828085e-02 8.3474070190e-02
8.3270133286e+02 1.7208569278e-01 5.9241606171e-02
8.2893118601e+02 2.9595219055e-01 2.7838829691e-02
8.2519502480e+02 4.6845598836e-01 -1.1110908642e-04
8.2149239175e+02 6.6846935825e-01 -1.8344066731e-02
8.1782283755e+02 8.5099428787e-01 -2.4383281965e-02
8.1418592089e+02 9.6855769156e-01 -1.7922227904e-02
8.1058120827e+02 1.0000000000e+00 0.0000000000e+00
8.0700827384e+02 9.5998135401e-01 2.6811976206e-02
8.0346669922e+02 8.8251824957e-01 5.8033449283e-02
7.9995607335e+02 7.9765994802e-01 8.7966130324e-02
7.9647599232e+02 7.1998656809e-01 1.1184403747e-01
7.9302605920e+02 6.5024885183e-01 1.2791260827e-01
7.8960588393e+02 5.8208224100e-01 1.3754813622e-01
7.8621508315e+02 5.0817578643e-01 1.4362763039e-01
7.8285328005e+02 4.2466257275e-01 1.4887416575e-01
7.7952010422e+02 3.3363211534e-01 1.5520346535e-01
7.7621519157e+02 2.4287878640e-01 1.6383140473e-01
7.7293818412e+02 1.6236135240e-01 1.7546443399e-01
7.6968872994e+02 9.9329074016e-02 1.9017818317e-01
7.6646648298e+02 5.5618275257e-02 2.0709346492e-01
7.6327110296e+02 2.8511535075e-02 2.2434360667e-01
7.6010225524e+02 1.3368431406e-02 2.3978324537e-01
7.5695961074e+02 5.7449746920e-03 2.5233615178e-01
7.5384284578e+02 2.3003931699e-03 2.6325912789e-01
7.5075164200e+02 8.9964688979e-04 2.7608917204e-01
7.4768568624e+02 3.7368006018e-04 2.9343964548e-01
7.4464467042e+02 1.7936233515e-04 3.1160446278e-01
7.4162829147e+02 1.0055578259e-04 3.2233835200e-01
7.3863625120e+02 6.0711070108e-05 3.2259122362e-01
7.3566825621e+02 3.5433563927e-05 3.1557420369e-01
7.3272401782e+02 1.8422816519e-05 3.0452328483e-01
7.2980325192e+02 8.1141542996e-06 2.9019353301e-01
7.2690567894e+02 2.9265945710e-06 2.7222759132e-01
7.2403102372e+02 8.3340732101e-07 2.5138256419e-01
7.2117901542e+02 1.7428759350e-07 2.3107100438e-01
7.1834938749e+02 2.1264328323e-08 2.1693109757e-01
7.1554187750e+02 2.6290573398e-10 2.0933737996e-01
7.1275622715e+02 1.1369532852e-09 -2.9142510214e+00
7.0999218212e+02 1.8655067571e-09 -2.9024371688e+00
7.0724949203e+02 1.2147208087e-09 -2.8957523151e+00
7.0452791034e+02 4.7952421300e-10 -2.8992362311e+00
7.0182719431e+02 1.3063361801e-10 -2.8995686323e+00
6.9914710490e+02 3.2164440144e-11 -2.8389990742e+00
6.9648740670e+02 1.3231658261e-11 -2.6814358119e+00
6.9384786788e+02 1.0437798232e-11 -2.5770932446e+00
6.9122826010e+02 8.7466623435e-12 -2.5595973362e+00
6.8862835847e+02 5.8189443832e-12 -2.5682840189e+00
6.8604794146e+02 2.9973652787e-12 -2.5805965930e+00
6.8348679085e+02 1.2488989572e-12 -2.5981290049e+00
6.8094469166e+02 4.4328090789e-13 -2.6297864518e+00
6.7842143211e+02 1.3930588325e-13 -2.6816604024e+00
6.7591680354e+02 3.9759117138e-14 -2.7466063154e+00
6.7343060036e+02 1.0923921558e-14 -2.7898393529e+00
6.7096262000e+02 3.4066947030e-15 -2.7556372926e+00
6.6851266284e+02 1.5013695196e-15 -2.6579899537e+00
6.6608053216e+02 9.3600014700e-16 -2.5928444458e+00
6.6366603411e+02 6.9081682158e-16 -2.5751711657e+00
6.6126897762e+02 5.1291185512e-16 -2.5673654850e+00
6.5888917440e+02 3.3201992976e-16 -2.5594907979e+00
6.5652643883e+02 1.6977775971e-16 -2.5580810933e+00
6.5418058796e+02 6.5508161204e-17 -2.5653425054e+00
6.5185144143e+02 1.8287978366e-17 -2.5776621053e+00
6.4953882147e+02 3.1777808851e-18 -2.5923564100e+00
6.4724255279e+02 1.6502026136e-19 -2.6257650253e+00
6.4496246258e+02 3.1998154172e-20 -5.6754454015e+00
6.4269838048e+02 8.9247350140e-20 -5.7238860839e+00
6.4045013848e+02 5.0066693073e-20 -5.7463625668e+00
6.3821757093e+02 1.3900584225e-20 -5.7757837194e+00
6.3600051448e+02 2.1352384176e-21 -5.8189429227e+00
6.3379880804e+02 1.6554899774e-22 -5.9018717327e+00
6.3161229275e+02 6.4034727466e-24 -6.0415156315e+00
6.2944081192e+02 6.9446154142e-25 -6.1101308398e+00
6.2728421102e+02 1.5675995950e-24 -5.8443496042e+00
6.2514233763e+02 1.8476141310e-24 -5.8341619981e+00
6.2301504139e+02 1.8996518239e-24 -5.6855324504e+00
6.2090217400e+02 9.8513242047e-25 -5.6257221803e+00
6.1880358916e+02 5.0308332930e-25 -5.5182616610e+00
6.1671914253e+02 4.7373047821e-26 -5.5824703830e+00
6.1464869172e+02 1.7711009111e-26 -5.4103495505e+00
6.1259209623e+02 1.2514545550e-27 -8.2612417923e+00
6.1054921746e+02 1.1210732395e-26 -5.3957761502e+00
6.0851991863e+02 7.5027206082e-29 -7.0997907381e+00
6.0650406478e+02 1.3019812174e-26 -5.4115794269e+00
6.0450152274e+02 5.0863350053e-28 -8.2524527950e+00
6.0251216108e+02 7.1375667097e-27 -5.4286525953e+00
6.0053585011e+02 2.0205056569e-27 -8.5083072060e+00
5.9857246181e+02 4.7481547500e-27 -5.4248711441e+00
5.9662186985e+02 2.9755924474e-27 -2.2904354075e+00
5.9468394955e+02 3.9187791874e-27 8.3189300220e-01
5.9275857781e+02 3.3869980788e-27 3.9576355772e+00
5.9084563316e+02 3.5947706679e-27 7.0843071980e+00
5.8894499566e+02 3.5334114470e-27 1.0208790198e+01
5.8705654693e+02 3.5274274646e-27 1.3334870935e+01
5.8518017009e+02 3.4885982594e-27 1.6460012132e+01
5.8331574975e+02 3.5273324294e-27 1.9587110464e+01
5.8146317201e+02 3.4842288264e-27 2.2715613225e+01
5.7962232437e+02 3.4876859673e-27 2.5843597113e+01
5.7779309578e+02 3.4847813706e-27 2.8972858026e+01
5.7597537659e+02 3.4681995518e-27 3.2100391738e+01
5.7416905851e+02 3.4665956725e-27 3.5228637872e+01
5.7237403460e+02 3.4610884649e-27 3.8354806320e+01
5.7059019928e+02 3.4534444380e-27 4.1481366321e+01
5.6881744826e+02 3.4504765200e-27 4.4606029676e+01
5.6705567854e+02 3.4548018970e-27 4.7731775754e+01
5.6530478841e+02 3.4547776133e-27 5.0859144237e+01
5.6356467739e+02 3.4581813654e-27 5.3986276746e+01
5.6183524626e+02 3.4554773711e-27 5.7113884343e+01
5.6011639698e+02 3.4584935700e-27 6.0240773749e+01
5.5840803275e+02 3.4602663059e-27 6.3368674734e+01
5.5671005790e+02 3.4595987321e-27 6.6496491305e+01
5.5502237796e+02 3.4628704114e-27 6.9624185183e+01
5.5334489958e+02 3.4705558077e-27 7.2751579855e+01
5.5167753053e+02 3.4720836368e-27 7.5878925297e+01
5.5002017972e+02 3.4858894569e-27 7.9008002372e+01
5.4837275711e+02 3.4890964000e-27 8.2136456165e+01
5.4673517376e+02 3.5000115960e-27 8.5264906688e+01
5.4510734179e+02 3.5068742200e-27 8.8392474943e+01
5.4348917436e+02 3.5125303142e-27 9.1519873244e+01
5.4188058565e+02 3.5199023575e-27 9.4645691397e+01
5.4028149085e+02 3.5302725979e-27 9.7772862378e+01
5.3869180618e+02 3.5425817031e-27 1.0089951475e+02
5.3711144881e+02 3.5543884998e-27 1.0402753823e+02
5.3554033689e+02 3.5756582658e-27 1.0715548569e+02
5.3397838952e+02 3.5890236342e-27 1.1028595679e+02
5.3242552675e+02 3.6095768165e-27 1.1341466511e+02
5.3088166955e+02 3.6287134716e-27 1.1654395588e+02
5.2934673981e+02 3.6453628733e-27 1.1967284486e+02
5.2782066032e+02 3.6636868646e-27 1.2280118602e+02
5.2630335476e+02 3.6796493947e-27 1.2592709396e+02
5.2479474766e+02 3.7003137164e-27 1.2905308702e+02
5.2329476446e+02 3.7262678389e-27 1.3217964568e+02
5.2180333140e+02 3.7302320297e-27 1.3530792628e+02
5.2032037560e+02 3.7716634041e-27 1.3843543207e+02
5.1884582498e+02 3.7888238484e-27 1.4156578225e+02
5.1737960828e+02 3.8293898948e-27 1.4469565613e+02
5.1592165505e+02 3.8596792654e-27 1.4782560191e+02
5.1447189563e+02 3.8905920676e-27 1.5095488931e+02
