# tau_fs It_norm phiet_rel_rad
-3.0535065600e+02 2.3910744274e-23 -1.5725317243e+01
-3.0296510400e+02 2.8219724231e-23 -1.5301489830e+01
-3.0057955200e+02 3.3977676001e-23 -1.4930251580e+01
-2.9819400000e+02 3.8901464053e-23 -1.4585495996e+01
-2.9580844800e+02 4.1760947184e-23 -1.4230888473e+01
-2.9342289600e+02 4.3682954160e-23 -1.3838445700e+01
-2.9103734400e+02 4.7672457368e-23 -1.3416775621e+01
-2.8865179200e+02 5.3830263364e-23 -1.3021641392e+01
-2.8626624000e+02 5.2411628195e-23 -1.2706400352e+01
-2.8388068800e+02 2.7577836445e-23 -1.2508960486e+01
-2.8149513600e+02 1.2740805097e-24 -1.4310714261e+01
-2.7910958400e+02 1.5287551002e-22 -1.5044257833e+01
-2.7672403200e+02 1.0008935388e-21 -1.4954802415e+01
-2.7433848000e+02 3.4846022777e-21 -1.4848565758e+01
-2.7195292800e+02 8.6101692569e-21 -1.4743790473e+01
-2.6956737600e+02 1.6432371641e-20 -1.4639591843e+01
-2.6718182400e+02 2.4855654813e-20 -1.4529771372e+01
-2.6479627200e+02 2.9709940011e-20 -1.4401353308e+01
-2.6241072000e+02 2.7433292332e-20 -1.4225208475e+01
-2.6002516800e+02 1.9325673954e-20 -1.3928539381e+01
-2.5763961600e+02 1.2963386176e-20 -1.3371459911e+01
-2.5525406400e+02 1.6161016997e-20 -1.2702713422e+01
-2.5286851200e+02 2.5776514980e-20 -1.2369785260e+01
-2.5048296000e+02 2.6365195501e-20 -1.2412877752e+01
-2.4809740800e+02 2.2566702903e-20 -1.3157599551e+01
-2.4571185600e+02 1.1885497598e-19 -1.4000314826e+01
-2.4332630400e+02 6.2148899167e-19 -1.4218957970e+01
-2.4094075200e+02 2.0822157053e-18 -1.4267744859e+01
-2.3855520000e+02 5.1694691545e-18 -1.4265869520e+01
-2.3616964800e+02 1.0289002022e-17 -1.4245749729e+01
-2.3378409600e+02 1.7019344781e-17 -1.4222742094e+01
-2.3139854400e+02 2.3682507410e-17 -1.4210855966e+01
-2.2901299200e+02 2.7650986083e-17 -1.4230975917e+01
-2.2662744000e+02 2.7022063104e-17 -1.4323245237e+01
-2.2424188800e+02 2.3649011764e-17 -1.4565575412e+01
-2.2185633600e+02 2.6082543185e-17 -1.5007528972e+01
-2.1947078400e+02 4.9444111656e-17 -1.5415784244e+01
-2.1708523200e+02 1.0888019986e-16 -1.5599295944e+01
-2.1469968000e+02 2.0499561010e-16 -1.5621518754e+01
-2.1231412800e+02 3.0493540718e-16 -1.5540984211e+01
-2.0992857600e+02 3.3681235652e-16 -1.5356391167e+01
-2.0754302400e+02 2.4793645361e-16 -1.4945981883e+01
-2.0515747200e+02 2.2978961454e-16 -1.3877834514e+01
-2.0277192000e+02 1.2410669389e-15 -1.2980040225e+01
-2.0038636800e+02 5.8458587270e-15 -1.2623704674e+01
-1.9800081600e+02 1.8994142231e-14 -1.2417139191e+01
-1.9561526400e+02 4.7774406480e-14 -1.2261394199e+01
-1.9322971200e+02 9.8868573161e-14 -1.2127225296e+01
-1.9084416000e+02 1.7324426175e-13 -1.2001524198e+01
-1.8845860800e+02 2.5988117697e-13 -1.1874953698e+01
-1.8607305600e+02 3.3308339683e-13 -1.1736877371e+01
-1.8368750400e+02 3.5911152689e-13 -1.1569566843e+01
-1.8130195200e+02 3.1608228139e-13 -1.1333600936e+01
-1.7891640000e+02 2.2745404809e-13 -1.0923236669e+01
-1.7653084800e+02 2.0711701672e-13 -1.0159079883e+01
-1.7414529600e+02 5.1529923258e-13 -9.4011989763e+00
-1.7175974400e+02 1.6277745861e-12 -9.0005783318e+00
-1.6937419200e+02 4.3218749811e-12 -8.7770711528e+00
-1.6698864000e+02 9.7765445759e-12 -8.6270769877e+00
-1.6460308800e+02 1.9665427703e-11 -8.5129303788e+00
-1.6221753600e+02 3.6189456308e-11 -8.4189615300e+00
-1.5983198400e+02 6.1955989784e-11 -8.3373690221e+00
-1.5744643200e+02 9.9588423281e-11 -8.2632706838e+00
-1.5506088000e+02 1.5096998600e-10 -8.1924219245e+00
-1.5267532800e+02 2.1609115585e-10 -8.1197346077e+00
-1.5028977600e+02 2.9158716033e-10 -8.0379307911e+00
-1.4790422400e+02 3.6940957980e-10 -7.9358173627e+00
-1.4551867200e+02 4.3734968339e-10 -7.7953212144e+00
-1.4313312000e+02 4.8659727833e-10 -7.5862552525e+00
-1.4074756800e+02 5.3848254934e-10 -7.2635967955e+00
-1.3836201600e+02 7.1251375522e-10 -6.8064367015e+00
-1.3597646400e+02 1.3649406628e-09 -6.3216268902e+00
-1.3359091200e+02 3.3160997564e-09 -5.9499158167e+00
-1.3120536000e+02 8.1330668184e-09 -5.6989456779e+00
-1.2881980800e+02 1.8330831697e-08 -5.5262861479e+00
-1.2643425600e+02 3.7239355746e-08 -5.4018972081e+00
-1.2404870400e+02 6.8269885492e-08 -5.3101918824e+00
-1.2166315200e+02 1.1354685563e-07 -5.2440840117e+00
-1.1927760000e+02 1.7239325314e-07 -5.2015214100e+00
-1.1689204800e+02 2.4077039998e-07 -5.1839920561e+00
-1.1450649600e+02 3.1305646567e-07 -5.1957908921e+00
-1.1212094400e+02 3.8706929788e-07 -5.2426664118e+00
-1.0973539200e+02 4.7183369750e-07 -5.3276558347e+00
-1.0734984000e+02 5.9556132748e-07 -5.4425056496e+00
-1.0496428800e+02 8.0958729493e-07 -5.5607478079e+00
-1.0257873600e+02 1.1843882681e-06 -5.6464962883e+00
-1.0019318400e+02 1.7988165596e-06 -5.6739562913e+00
-9.7807632000e+01 2.7350068709e-06 -5.6339973431e+00
-9.5422080000e+01 4.1064200829e-06 -5.5277190243e+00
-9.3036528000e+01 6.1550759520e-06 -5.3619504511e+00
-9.0650976000e+01 9.4408867473e-06 -5.1507030464e+00
-8.8265424000e+01 1.5102097502e-05 -4.9162112757e+00
-8.5879872000e+01 2.5104415294e-05 -4.6825842111e+00
-8.3494320000e+01 4.2358767448e-05 -4.4660351977e+00
-8.1108768000e+01 7.0623825468e-05 -4.2717203714e+00
-7.8723216000e+01 1.1423659000e-04 -4.0975720282e+00
-7.6337664000e+01 1.7788050401e-04 -3.9390863936e+00
-7.3952112000e+01 2.6669214670e-04 -3.7921491759e+00
-7.1566560000e+01 3.8691493283e-04 -3.6541792876e+00
-6.9181008000e+01 5.4701468727e-04 -3.5243722019e+00
-6.6795456000e+01 7.5879182755e-04 -3.4034217017e+00
-6.4409904000e+01 1.0377351037e-03 -3.2928436728e+00
-6.2024352000e+01 1.4017628487e-03 -3.1940585118e+00
-5.9638800000e+01 1.8675455973e-03 -3.1075203345e+00
-5.7253248000e+01 2.4437497653e-03 -3.0321776216e+00
-5.4867696000e+01 3.1210155967e-03 -2.9653553719e+00
-5.2482144000e+01 3.8598889934e-03 -2.9029075437e+00
-5.0096592000e+01 4.5808064651e-03 -2.8393423188e+00
-4.7711040000e+01 5.1641865669e-03 -2.7675681830e+00
-4.5325488000e+01 5.4718205152e-03 -2.6778323052e+00
-4.2939936000e+01 5.4003498613e-03 -2.5552091507e+00
-4.0554384000e+01 4.9719507417e-03 -2.3749555556e+00
-3.8168832000e+01 4.4574174587e-03 -2.0988858440e+00
-3.5783280000e+01 4.5162205849e-03 -1.6997335132e+00
